text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @blanchettcom: First <U+2018>Ocean<U+2019>s 8 Trailer Teaser + Contest Infos
More: https://t.co/ONdDaylCiM
#CateBlanchett #SandraBullock #Rihanna #Sar<U+2026>",FALSE,0,NA,2017/12/18 17:59,FALSE,NA,9.42817E+17,NA,Twitter Lite,melaniemxiong,9,TRUE,FALSE,NA,NA
"RT @Power1051: #Rihanna says ""Powerful, creative, without any taboos, @LilKim has pushed the limits like no other black artist,"" 
Read more<U+2026>",FALSE,0,NA,2017/12/18 17:55,FALSE,NA,9.42816E+17,NA,Twitter for Android,BenshimolRobin,191,TRUE,FALSE,NA,NA
"RT @blanchettcom: First <U+2018>Ocean<U+2019>s 8 Trailer Teaser + Contest Infos
More: https://t.co/ONdDaylCiM
#CateBlanchett #SandraBullock #Rihanna #Sar<U+2026>",FALSE,0,NA,2017/12/18 17:55,FALSE,NA,9.42816E+17,NA,Twitter Web Client,catebblogbr,9,TRUE,FALSE,NA,NA
"First <U+2018>Ocean<U+2019>s 8 Trailer Teaser + Contest Infos
More: https://t.co/ONdDaylCiM
#CateBlanchett #SandraBullock<U+2026> https://t.co/wKhHQMwl0C",FALSE,31,NA,2017/12/18 17:53,TRUE,NA,9.42815E+17,NA,Hootsuite,blanchettcom,9,FALSE,FALSE,NA,NA
"RT @Power1051: #Rihanna says ""Powerful, creative, without any taboos, @LilKim has pushed the limits like no other black artist,"" 
Read more<U+2026>",FALSE,0,NA,2017/12/18 17:53,FALSE,NA,9.42815E+17,NA,Twitter for iPhone,datellecash,191,TRUE,FALSE,NA,NA
"RT @Power1051: #Rihanna says ""Powerful, creative, without any taboos, @LilKim has pushed the limits like no other black artist,"" 
Read more<U+2026>",FALSE,0,NA,2017/12/18 17:52,FALSE,NA,9.42815E+17,NA,Twitter for Android,Focus392,191,TRUE,FALSE,NA,NA
#nowplaying #rihanna #mikkyekko ~ Rihanna feat. Mikky Ekko | Stay ||| BB RADIO - xoxoxoxoxoxoxoxoxoxoxox,FALSE,0,NA,2017/12/18 17:51,FALSE,NA,9.42815E+17,NA,BB RADIO Music App,_BB_RADIO_MUSIC,0,FALSE,FALSE,13.1199934,52.381905
"@rihanna is so beautiful! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> That #fentybeauty
#JamRockOne #JamRockOneCeleb #RIHANNANAVY #badgalriri #WeAdoreHer<U+2026> https://t.co/NDoYgL9Zp8",FALSE,0,rihanna,2017/12/18 17:49,TRUE,NA,9.42814E+17,79293791,Twitter for Android,JamRockOneMedia,0,FALSE,FALSE,NA,NA
Mon 12:49 love on the brain dj miked mix by #rihanna  #nowplaying #FREQUENCY360RADIO https://t.co/lPX9Df4FlN,FALSE,0,NA,2017/12/18 17:49,FALSE,NA,9.42814E+17,NA,CSSocial,FREQUENCY360TV,0,FALSE,FALSE,NA,NA
"RT @Power1051: #Rihanna says ""Powerful, creative, without any taboos, @LilKim has pushed the limits like no other black artist,"" 
Read more<U+2026>",FALSE,0,NA,2017/12/18 17:48,FALSE,NA,9.42814E+17,NA,Twitter for iPhone,RemBelushi_,191,TRUE,FALSE,NA,NA
"""WE GOT OVER""(ABOUT LOVE) REMIX FT ROSE MONROE by ""KVN ThePRINCE"" BBC<U+00A9> https://t.co/rVQ1LZCRq5 #musicmakerjam #reggae #rihanna #music #rnb",FALSE,0,NA,2017/12/18 17:43,FALSE,NA,9.42813E+17,NA,Twitter Web Client,SincerelyMe2012,0,FALSE,FALSE,NA,NA
"Lemon - N.E.R.D https://t.co/fnZ29Vfm6u #NowPlaying
#lemon
#Rihanna",FALSE,0,NA,2017/12/18 17:43,FALSE,NA,9.42813E+17,NA,Twitter for iPhone,MASAYA_TOKUDA,0,FALSE,FALSE,NA,NA
#NinelConde <U+00BF>recurre a imitaci<U+00F3>n de famos<U+00ED>simas botas de swarovski? As<U+00ED> lo deja ver su Maquillista. Las botas las u<U+2026> https://t.co/4l79nd2htY,FALSE,0,NA,2017/12/18 17:42,TRUE,NA,9.42812E+17,NA,TweetDeck,SoyCarmin,0,FALSE,FALSE,NA,NA
Rih liked 12.18.17 #rihanna #rihannanavy #fentybeauty #badgalririlikes https://t.co/XrVS8OY9gQ,FALSE,0,NA,2017/12/18 17:42,FALSE,NA,9.42812E+17,NA,Instagram,badgalririlikes,0,FALSE,FALSE,NA,NA
Rih liked 12.18.17 #rihanna #rihannanavy #fentybeauty #badgalririlikes https://t.co/qUWoI03FmH,FALSE,0,NA,2017/12/18 17:42,FALSE,NA,9.42812E+17,NA,Instagram,badgalririlikes,0,FALSE,FALSE,NA,NA
"It's #Rihanna thirty at my desk. Party in cube 4. #byob 
https://t.co/fhPgE4XX0a https://t.co/SaQNS1KoIn",FALSE,2,NA,2017/12/18 17:40,FALSE,NA,9.42812E+17,NA,Buffer,WwRegg,0,FALSE,FALSE,NA,NA
AQU<U+00CD> EST<U+00C1>N: Los 6 mejores GIFs que muestran la qu<U+00ED>mica de #Drake con #Rihanna | Floor8 https://t.co/4qGShawZwC,FALSE,0,NA,2017/12/18 17:40,FALSE,NA,9.42812E+17,NA,Gossip Addict ES,Gossip_AddictES,0,FALSE,FALSE,NA,NA
"Pushing HR to the limit at the Xmas party...
.
.
.
.
.
.
.
.
.
#holidayoutfit #xmasparty #sexy #rihanna #orange<U+2026> https://t.co/wvUOcYyBG7",FALSE,0,NA,2017/12/18 17:39,TRUE,NA,9.42812E+17,NA,IFTTT,ShopJiyu,0,FALSE,FALSE,NA,NA
RT @CandelaMarquezh: Aqu<U+00ED> les comparto un poco la sesi<U+00F3>n de fotos de ayer... buenos d<U+00ED>as! <ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BC><ed><U+00BC><U+009E> #rihanna #loveonthebrain #love #on #the #brain<U+2026>,FALSE,0,NA,2017/12/18 17:36,FALSE,NA,9.42811E+17,NA,Twitter for Android,arguelles_dulce,13,TRUE,FALSE,NA,NA
"#DJKhaled Ft. #Rihanna &amp; #BrysonTiller Wild Thoughts

https://t.co/WAbPUYAdiB

https://t.co/pZIO4m3tmR",FALSE,1,NA,2017/12/18 17:35,FALSE,NA,9.4281E+17,NA,Airtime Pro,jimmysmith954,0,FALSE,FALSE,NA,NA
