text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @Swift_Alert: #TaylorSwift's current rankings on the #Spotify US charts 12/17
45. #EndGame: 431,000 <ed><U+00A0><U+00BD><ed><U+00B4><U+00BD>
108. #LookWhatYouMadeMeDo: 264,000<U+2026>",FALSE,0,NA,2017/12/18 19:18,FALSE,NA,9.42837E+17,NA,Twitter Web Client,JerryToThisTay,1,TRUE,FALSE,NA,NA
"RT @Swift_Alert: #TaylorSwift's current rankings on the #Spotify worldwide charts 12/17
97. #EndGame: 806,000 <ed><U+00A0><U+00BD><ed><U+00B4><U+00BC>
102. #LookWhatYouMadeMeDo:<U+2026>",FALSE,0,NA,2017/12/18 19:18,FALSE,NA,9.42837E+17,NA,Twitter Web Client,JerryToThisTay,1,TRUE,FALSE,NA,NA
"#TaylorSwift's current rankings on the #Spotify US charts 12/17
45. #EndGame: 431,000 <ed><U+00A0><U+00BD><ed><U+00B4><U+00BD>
108. #LookWhatYouMadeMeDo:<U+2026> https://t.co/6F4VnJJhRG",FALSE,2,NA,2017/12/18 19:18,TRUE,NA,9.42836E+17,NA,Twitter Web Client,Swift_Alert,1,FALSE,FALSE,NA,NA
""" Please don<U+2019>t ever become a stranger whose laugh i could recognize anywhere <U+201C> Taylor Swift New Year<U+2019>s Day - Reputa<U+2026> https://t.co/m0CNHqmy7F",FALSE,0,NA,2017/12/18 19:17,TRUE,NA,9.42836E+17,NA,Twitter Web Client,TSmotivation,0,FALSE,FALSE,NA,NA
"RT @ItsEmaan_: Credit to the honor <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
 Lil #TaylorSwift https://t.co/Pdo9ILcV6B",FALSE,0,NA,2017/12/18 19:15,FALSE,NA,9.42836E+17,NA,Twitter for Android,aamnasayx_,13,TRUE,FALSE,NA,NA
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #TS6 #reputation #FlowersWall #TaylorSwift #ItWasntFunnyBackThen https://t.co/prDVwd6aMx,FALSE,0,NA,2017/12/18 19:14,FALSE,NA,9.42835E+17,NA,Twitter Web Client,Ellypsism,0,FALSE,FALSE,NA,NA
"#TaylorSwift's current rankings on the #Spotify worldwide charts 12/17
97. #EndGame: 806,000 <ed><U+00A0><U+00BD><ed><U+00B4><U+00BC>
102.<U+2026> https://t.co/bKkh2cNXg4",FALSE,2,NA,2017/12/18 19:13,TRUE,NA,9.42835E+17,NA,Twitter Web Client,Swift_Alert,1,FALSE,FALSE,NA,NA
RT @TSwiftDailyNews: RT to vote for #Zayn &amp; #TaylorSwift <U+201C>I Don<U+2019>t Wanna Live Forever<U+201D> for #Mashup! @radiodisney #RDMA @zaynmalik @taylorswi<U+2026>,FALSE,0,NA,2017/12/18 19:13,FALSE,NA,9.42835E+17,NA,Twitter for iPhone,Imfarm24,155,TRUE,FALSE,NA,NA
Which pic?! #TaylorSwiftNOW #taylorswift #reputation #reputationStadiumTour,FALSE,1,TaylorSPolls,2017/12/18 19:12,FALSE,9.42835E+17,9.42835E+17,7.54479E+17,Twitter for iPhone,TaylorSPolls,1,FALSE,FALSE,NA,NA
Which picture of Taylor with a camera? Vote below! #TaylorSwiftNOW #TaylorSwift #Swifties #camera #TheSwiftLife https://t.co/xByaSjg7kT,FALSE,6,NA,2017/12/18 19:11,FALSE,NA,9.42835E+17,NA,Twitter for iPhone,TaylorSPolls,1,FALSE,FALSE,NA,NA
"RT @taylorswept13: Monday morning Taylor.
#TaylorSwift
#Swiftie https://t.co/6cNxnnumFL",FALSE,0,NA,2017/12/18 19:08,FALSE,NA,9.42834E+17,NA,Twitter for iPhone,taylorswept13,3,TRUE,FALSE,NA,NA
RT @MikeAdamOnAir: It's a return to country of sorts for #TaylorSwift... her song 'New Year's Day' has been officially sent to country radi<U+2026>,FALSE,0,NA,2017/12/18 19:06,FALSE,NA,9.42834E+17,NA,Twitter for Android,luyanda_gasela,34,TRUE,FALSE,NA,NA
